"","time","mid","LTT_low95","LTT_high95","LTT_med","pulled_low95","pulled_high95","pulled_med","E(t)_Lam_low95","E(t)_Lam_high95","E(t)_Lam_med","extPC_Lam_low95","extPC_Lam_high95","extPC_Lam_med","ext3t_Lam_low95","ext3t_Lam_high95","ext3t_Lam_med","extC3t_Lam_low95","extC3t_Lam_high95","extC3t_Lam_med","extGF_Lam_low95","extGF_Lam_high95","extGF_Lam_med","E2f3_Lam_low95","E2f3_Lam_high95","E2f3_Lam_med","ext2f3_Lam_low95","ext2f3_Lam_high95","ext2f3_Lam_med","all6Mu_Lam_low95","all6Mu_Lam_high95","all6Mu_Lam_med"
"11",51,53.5,42.0365549930329,61.0873755422165,50.9698854708641,0.0178690262951746,0.0668040955800041,0.0467411492588437,0.0224970405235611,0.0832261057257782,0.0574988049298101,0.354000817469147,0.901073703935902,0.651073856046475,0.337464248070762,0.900441025236658,0.666273140904668,0.327791333641941,0.983261482022513,0.689748772806897,0.34827880786185,0.907826573100438,0.670069267331346,0.310873985255667,0.745678813266494,0.560061230647925,0.358127050811016,0.902587007231142,0.672944026191157,0.331413342880725,0.910699987608527,0.644162607447408
"12",56,58.5,32.5493018543044,49.6023250618235,41.6356861845084,0.00873574825344286,0.0919406346346333,0.0365728291357186,0.0224697381907384,0.262408331042136,0.092555842870832,1.61227767427197,2.25401397926484,1.94421294179707,1.48417289357096,2.24036251509929,1.91064780152501,1.19588896706383,2.34790744954726,1.69599385312039,1.57737212260796,2.30151529872312,1.90655613702851,0.479581047452186,1.14629129858849,0.72254651001168,1.59539736175618,2.2607419856186,1.90546353222266,0.580470943509536,2.26269761117018,1.83955919877035
"13",61,63.5,23.2468882103522,41.7797956466431,32.596428778403,0.0107087683139238,0.128779742001836,0.0510325578601385,0.0215350465995504,0.301261317156803,0.114537483613645,1.6043045763587,2.65283288067783,2.09496517355094,1.50095615309649,2.7032946048857,2.08597031003915,0.349720583905217,61.7566787050712,1.75803526983983,1.59127590793646,2.64910706452648,2.0603696703595,0.562684408501979,1.26546498081305,1.01624272590936,1.55158626470922,2.62672230996711,2.05075124924636,0.608067519584329,24.4868995836331,2.00443018804939
"14",66,68.5,15.754443723099,33.7080616792479,24.300143534835,0.0208104340325163,0.135105928599265,0.0613902328187512,0.0390931352488053,0.324931354708106,0.125889829234209,0.154910787493081,1.47970474642373,1.01161197745858,0.139599135319054,1.47990722323969,1.00724580815096,0.146455023244817,2.02326376417661,1.21500363655032,0.150496775401165,1.47991648808902,1.05278926530866,0.736420881341968,1.40700967275441,1.08012467119646,0.159818876018664,1.49741100387938,1.06433722225638,0.14946212963804,1.69525265102779,1.04738300105618
"15",71,73.5,8.8524005519431,25.4666077159183,16.4888030059735,0.027080550530139,0.197521071945561,0.0831339361544573,0.0539290800519023,0.552262458119016,0.182167860116389,0.118840770709378,0.735465333620889,0.463788366284359,0.115224676109169,0.726100645372872,0.452722721407755,0.145435424101104,0.707931524734573,0.438580228740817,0.119482131334616,0.727959501160624,0.487204102486149,0.312425033804034,0.772174743768199,0.536388337263512,0.121368963938083,0.758359044811092,0.490110566089258,0.119092588279696,0.744522205546799,0.482430814654292
"16",76,78.5,4.9598292727377,20.4522739411571,10.1837873108804,0,0.202206884256653,0.0811746006675626,0,0.573131111508139,0.207272095178205,0,0.987682898129644,0.193414071935764,0,0.882979660775115,0.218892716186136,0,0.829258100109351,0.164572553821276,0,0.849846480005398,0.190506099744124,0,0.419512390700793,0.157860640156623,0,0.961974888923521,0.156919707491596,0,0.890681428595407,0.176924692668202
"17",81,83.5,3.3403402811412,13.9059319390876,6.67249771368734,0,0.171714189506131,0.0785200500331033,0,0.738380972970779,0.241473216012388,0.169464683718053,1.57113033283364,0.882349275728171,0.167974034770511,1.57324936376378,0.743233943281059,0.168103117739266,1.56356346607325,0.929412673403912,0.157088558610184,1.50533851867617,0.973816648123197,0,0.857348630773907,0.486898301098428,0.168675855579663,1.57114123779215,1.05699504271287,0.0325822673102602,1.52653871819257,0.728885864653121
"18",86,88.5,2.81185706745229,10.1726374416505,4.45653765160557,0,0.159130610108667,0.0640561112929332,0,0.366570795108095,0.132963731506328,0.153380552163833,1.88332037388362,1.14374925083489,0.148055100141071,1.87803284100758,1.1367256136225,0.130448890488638,1.83314242836622,1.11407912772685,0.31431431308665,1.93319069123612,1.10471052771536,0,1.05455123791141,0.623957704269682,0.0246841667310073,1.79714065719394,1.11518923726176,0,1.84902445487161,1.05900972430742
"19",91,93.5,2.69468611161731,8.46183080469433,3.55712402482409,0,0.138958842774704,0.0039588535012487,0,0.407258168794127,0.0147418266594952,0,1.70557160084824,0.937641645678633,0,1.73535768662914,0.971414523409338,0,1.6999678012299,0.886634556455691,0,1.73593877836808,0.841449171404058,0,1.18824357194939,0.462870230438966,0,1.73466998077045,0.835742150882603,0,1.71571745621715,0.802565952346749
"20",96,98.5,2.66381140066879,5.8365524350403,3.06553344850178,0,0.108702268288762,0,0,0.557809666346034,0,0,2.05964036801823,1.10806619882138,0,2.06421387577295,1.11578883456106,0,2.05989439546304,0.971073300274503,0,2.06419939300401,0.958520920086756,0,1.37790147552203,0,0,2.21189656206825,1.02752743088663,0,2.14654294784834,0.782330582049222
"21",101,103.5,2.63596177885868,4.32225247743568,3.02454561532969,0,0.0972679876955379,0,0,0.317500664384587,0,0,0.6673359970858,0,0,0.668438393379642,0,0,0.872289787782777,0,0,0.775769775777683,0,0,0.721733608199128,0,0,0.771677978535596,0,0,0.840294937991148,0
"22",106,108.5,2.63596177885868,3.73551355747878,3.0127760143387,0,0,0,0,0,0,0,0.102518545142222,0.101064871347492,0,0.102503345832176,0.100945004620874,0,0.101782667149028,0.0920483506799037,0,0.102419516178585,0.100966602092148,0,0.0957328997753268,0,0,0.101947474709021,0.100615723280874,0,0.102328973512269,0.0998539789561177
"23",111,113.5,2.63596177885868,3.22583125713263,2.99371084859842,0,0.0576161707548006,0,0,0.423440448515332,0,0,0.385734571300213,0.375088621327504,0,0.384124895527106,0.374277865870968,0,0.413289913868048,0.366786836733038,0,0.386615413753943,0.374578944243567,0,0.312682727208043,0,0,0.380958365081518,0.372941687013658,0,0.385034313363373,0.369583673086736
