"nodeShifted" "numTaxa" "from" "to" "numNontaxa" "cladeDiv_mean" "noncladeDiv_mean" "factor" "incDec" "tree"
"191" 10527 105 "Srilankamys_ohiensis_MURIDAE_RODENTIA" "Berylmys_bowersi_MURIDAE_RODENTIA" 5806 0.27198930649706 0.121992784433526 2.2295524096777 "upShift" 2
"201" 9608 65 "Ctenomys_budini_CTENOMYIDAE_RODENTIA" "Ctenomys_erikacuellarae_CTENOMYIDAE_RODENTIA" 5846 0.430126102714928 0.122347050224441 3.51562299153006 "upShift" 2
"21" 6165 38 "Sorex_fumeus_SORICIDAE_EULIPOTYPHLA" "Sorex_stizodon_SORICIDAE_EULIPOTYPHLA" 5873 0.226827097023964 0.123246495374288 1.84043445888755 "upShift" 2
"22" 7467 52 "Pteropus_capistratus_PTEROPODIDAE_CHIROPTERA" "Pteropus_poliocephalus_PTEROPODIDAE_CHIROPTERA" 5859 0.606445322944024 0.12249756279124 4.95067256135968 "upShift" 2
"112" 5918 5544 "Dasypus_septemcinctus_DASYPODIDAE_CINGULATA" "Chrysochloris_stuhlmanni_CHRYSOCHLORIDAE_AFROSORICIDA" 367 0.144784084980997 0.133907845019293 1.08122182804253 "upShift" 3
"211" 6002 420 "Anourosorex_schmidi_SORICIDAE_EULIPOTYPHLA" "Solisorex_pearsoni_SORICIDAE_EULIPOTYPHLA" 5491 0.173846756397029 0.142273453085351 1.22191984960635 "upShift" 3
"32" 8431 135 "Nycticebus_pygmaeus_LORISIDAE_PRIMATES" "Allocebus_trichotis_CHEIROGALEIDAE_PRIMATES" 5776 0.08192304154849 0.145397472771486 0.563441991025831 "downShift" 3
"42" 9216 298 "Trichys_fasciculata_HYSTRICIDAE_RODENTIA" "Abrocoma_budini_ABROCOMIDAE_RODENTIA" 5613 0.152711256611029 0.143590458556993 1.06351952731188 "upShift" 3
"52" 11461 362 "Rhyncholestes_raphanurus_CAENOLESTIDAE_PAUCITUBERCULATA" "Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 5549 0.163023265683316 0.142842312974235 1.14128133526318 "upShift" 3
"62" 9710 1505 "Prometheomys_schaposchnikowi_CRICETIDAE_RODENTIA" "Abditomys_latidens_MURIDAE_RODENTIA" 4406 0.18939449723674 0.13122160074963 1.44331799151043 "upShift" 3
"72" 7137 593 "Myopterus_whitleyi_MOLOSSIDAE_CHIROPTERA" "Myotis_keaysi_VESPERTILIONIDAE_CHIROPTERA" 5318 0.147188568960794 0.143649577352709 1.02463628277441 "upShift" 3
"82" 10538 46 "Uranomys_ruddi_MURIDAE_RODENTIA" "Acomys_muzei_MURIDAE_RODENTIA" 5865 0.155634330660697 0.143916012341981 1.08142470131031 "upShift" 3
"92" 11222 51 "Eozapus_setchuanus_DIPODIDAE_RODENTIA" "Sicista_concolor_DIPODIDAE_RODENTIA" 5860 0.082336512042894 0.144576889991917 0.569499814579616 "downShift" 3
"102" 6447 298 "Arctogalidia_trivirgata_VIVERRIDAE_CARNIVORA" "Mydaus_marchei_MEPHITIDAE_CARNIVORA" 5613 0.188037566246888 0.142304747442591 1.3213724041269 "upShift" 3
"113" 8215 194 "Dobsonia_moluccensis_PTEROPODIDAE_CHIROPTERA" "Cynopterus_brachyotis_PTEROPODIDAE_CHIROPTERA" 5717 0.157648283643131 0.143587055759467 1.09792824157644 "upShift" 3
"122" 8036 180 "Rhinolophus_alcyone_RHINOLOPHIDAE_CHIROPTERA" "Triaenops_menamena_HIPPOSIDERIDAE_CHIROPTERA" 5731 0.172890272230264 0.143285605481563 1.20661298564641 "upShift" 3
"132" 6808 91 "Indopacetus_pacificus_ZIPHIIDAE_CETARTIODACTYLA" "Eubalaena_australis_BALAENIDAE_CETARTIODACTYLA" 5820 0.203365859611707 0.143327015009714 1.41889412542307 "upShift" 3
"142" 11280 91 "Ochotona_syrinx_OCHOTONIDAE_LAGOMORPHA" "Prolagus_sardus_PROLAGIDAE_LAGOMORPHA" 5820 0.140183883691113 0.144058013547703 0.973107154810882 "downShift" 3
"152" 8575 313 "Callicebus_brunneus_PITHECIIDAE_PRIMATES" "Allenopithecus_nigroviridis_CERCOPITHECIDAE_PRIMATES" 5598 0.20883743984113 0.142155025729212 1.46908235406984 "upShift" 3
"162" 9516 107 "Microdipodops_pallidus_HETEROMYIDAE_RODENTIA" "Chaetodipus_baileyi_HETEROMYIDAE_RODENTIA" 5804 0.173268111618208 0.143531039914193 1.20718216576563 "upShift" 3
"172" 8926 285 "Funambulus_pennantii_SCIURIDAE_RODENTIA" "Iomys_horsfieldii_SCIURIDAE_RODENTIA" 5626 0.176582001638945 0.142633552634941 1.23801166259171 "upShift" 3
"182" 7814 203 "Desmodus_draculae_PHYLLOSTOMIDAE_CHIROPTERA" "Neonycteris_pusilla_PHYLLOSTOMIDAE_CHIROPTERA" 5708 0.162373885455994 0.143408371974776 1.1322483005703 "upShift" 3
"192" 10147 7 "Punomys_lemminus_CRICETIDAE_RODENTIA" "Akodon_latebricola_CRICETIDAE_RODENTIA" 5904 0.176951929414786 0.143953221579531 1.22923215939995 "upShift" 3
"202" 6911 212 "Muntiacus_muntjak_CERVIDAE_CETARTIODACTYLA" "Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA" 5699 0.262957653253374 0.141403485024748 1.85962639610581 "upShift" 3
"212" 6189 211 "Suncus_murinus_SORICIDAE_EULIPOTYPHLA" "Sylvisorex_morio_SORICIDAE_EULIPOTYPHLA" 5700 0.251102334065868 0.141694290969523 1.77214150512159 "upShift" 3
"221" 10346 91 "Lenoxus_apicalis_CRICETIDAE_RODENTIA" "Juscelinomys_huanchacae_CRICETIDAE_RODENTIA" 5820 0.248184990937385 0.143091518986812 1.73444934189467 "upShift" 3
"23" 10819 133 "Anisomys_imitator_MURIDAE_RODENTIA" "Abeomelomys_sevia_MURIDAE_RODENTIA" 5778 0.253442526495475 0.142615383241393 1.77710511121016 "upShift" 3
"24" 10482 50 "Gerbillus_dunni_MURIDAE_RODENTIA" "Microdillus_peeli_MURIDAE_RODENTIA" 5861 0.203672556071279 0.143727139123127 1.41707792497559 "upShift" 3
"25" 8271 69 "Pteropus_chrysoproctus_PTEROPODIDAE_CHIROPTERA" "Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA" 5842 0.35163069076605 0.143014793557585 2.45870152324113 "upShift" 3
"26" 10655 99 "Rattus_norvegicus_MURIDAE_RODENTIA" "Bullimus_bagobus_MURIDAE_RODENTIA" 5812 0.340044964971848 0.142518013761293 2.385978838727 "upShift" 3
