generation,N_shifts,logPrior,logLik,eventRate,acceptRate
277000,10,50.6085,-15968.9,3.54242,0.349
278000,11,55.6181,-15970.1,2.13158,0.333
279000,9,44.182,-15967.7,4.72696,0.311
280000,10,46.593,-15971.2,4.19187,0.337
281000,10,39.6812,-15962.4,7.24163,0.319
282000,12,56.9972,-15958.5,6.98129,0.317
283000,12,61.7667,-15958.1,5.52299,0.336
284000,13,64.7464,-15951.5,7.43266,0.322
285000,13,60.7999,-15957.3,9.84255,0.322
286000,13,58.0707,-15955.6,4.52062,0.317
287000,12,55.8566,-15963.5,6.80727,0.332
288000,12,50.6329,-15960.1,5.1695,0.298
289000,13,55.2317,-15957,5.03317,0.343
290000,11,48.0695,-15939.4,6.52576,0.294733
291000,9,41.4784,-15945.2,4.33698,0.286
292000,9,34.8277,-15933.3,6.13068,0.252
293000,12,50.2514,-15954.4,5.09536,0.30975
294000,11,39.6243,-15953.2,4.41228,0.297
295000,12,45.0198,-15956.1,8.5681,0.27
296000,12,47.6849,-15940,3.61393,0.268
297000,12,51.7933,-15942.9,7.09876,0.284
298000,12,50.5479,-15932.5,6.64113,0.258
299000,13,57.7306,-15936.3,4.53014,0.266
300000,14,64.3333,-15938,7.44973,0.312
301000,15,63.8611,-15943,7.73617,0.333
302000,16,65.5912,-15926.5,8.18604,0.315
303000,16,67.8203,-15932.2,9.28495,0.338
304000,18,76.9129,-15928.4,10.2876,0.36
305000,17,73.1504,-15928.1,8.12574,0.333
306000,17,68.3617,-15931,10.8102,0.309
307000,20,86.8638,-15927.4,11.5215,0.32
308000,21,90.8499,-15923.3,12.7091,0.314
309000,13,61.3587,-15924.6,6.17159,0.292647
310000,13,63.3473,-15921.9,3.24024,0.295
311000,19,83.0948,-15883.4,9.24463,0.342
312000,23,94.2727,-15885.4,14.8971,0.371
313000,22,90.4544,-15874.6,11.643,0.349
314000,14,56.7358,-15913.1,7.7909,0.30175
315000,13,46.2739,-15918,7.89042,0.288
316000,13,50.7066,-15915.4,7.39297,0.273
317000,13,53.6619,-15912,7.40844,0.273
318000,15,65.1342,-15915.2,5.53519,0.276
319000,16,67.2129,-15908.7,12.1477,0.322
320000,14,59.469,-15908.4,8.80082,0.306
321000,11,46.4885,-15918.2,6.34483,0.247
322000,12,54.1655,-15910.5,4.67803,0.234
323000,12,50.3637,-15915.1,6.27271,0.256
324000,11,41.5337,-15910.2,7.71936,0.238
325000,13,52.678,-15910.8,9.17446,0.264
326000,13,56.7403,-15901.4,9.16366,0.298
327000,14,54.712,-15914,8.36277,0.309
328000,13,59.3751,-15909.7,8.6341,0.308
329000,13,65.2525,-15900.4,5.81245,0.313
330000,14,63.4638,-15913.3,8.2458,0.326
331000,14,66.5148,-15909.3,7.92625,0.319
332000,18,69.7311,-15878.2,8.12218,0.334421
333000,20,79.5085,-15879.5,10.5729,0.32
334000,9,42.2857,-15977.6,5.92947,0.269081
335000,8,41.0435,-15970.1,4.77689,0.293
336000,8,40.5672,-15974.6,2.97663,0.284
337000,8,41.7987,-15972.6,3.04996,0.278
338000,18,77.8961,-15872,10.144,0.325
339000,14,60.9974,-15893.7,6.54101,0.283
340000,18,73.5147,-15885.8,10.5689,0.317
341000,15,69.4749,-15891.1,6.32845,0.2785
342000,16,69.199,-15894.4,10.303,0.322
343000,15,72.2776,-15891.4,6.55503,0.301
344000,16,73.6074,-15893.8,11.9892,0.298
345000,16,72.8073,-15890.4,13.7298,0.331
346000,14,62.9334,-15892.1,7.85695,0.322
347000,18,75.7874,-15860.9,7.53045,0.321714
348000,16,65.658,-15864.5,12.143,0.307
349000,15,70.5068,-15865,5.05784,0.302
350000,15,70.4935,-15856.2,6.54962,0.28
351000,16,75.7833,-15868,8.72944,0.267
352000,17,71.3192,-15857.1,10.9918,0.278
353000,18,82.0918,-15858.7,8.45153,0.282
354000,16,66.971,-15863.3,6.36484,0.318
355000,18,74.3414,-15847.8,12.6345,0.316
356000,20,83.0651,-15847.1,13.5722,0.291
357000,22,103.665,-15849,11.2347,0.325
358000,24,116.076,-15860.1,13.4887,0.308
359000,22,98.9056,-15854.3,11.7508,0.351
360000,22,97.598,-15859.4,12.8154,0.328
361000,20,89.9209,-15867.6,8.17523,0.347
362000,15,67.9063,-15897.3,8.05524,0.320813
363000,15,70.206,-15895.1,8.72479,0.331
364000,13,64.4826,-15907.2,6.11808,0.278
365000,13,61.3086,-15891.8,6.73147,0.304
