"harmMeans_Lam" "arithMeans_Lam" "harmMeans_Mu" "arithMeans_Mu" "harmMeans_NetDiv" "arithMeans_NetDiv"
"Euphractus_sexcinctus_DASYPODIDAE_CINGULATA" 0.0688671106430421 0.0726225273209365 0.00278361818248451 0.0205559899644 0.0463446250163635 0.0520665373565365
"Chaetophractus_nationi_DASYPODIDAE_CINGULATA" 0.0693320259975778 0.0726765038470106 0.00278268430564188 0.0202570707544 0.0463065876924383 0.0524194330926106
"Chaetophractus_villosus_DASYPODIDAE_CINGULATA" 0.0693320259975778 0.0726765038470106 0.00278268430564188 0.0202570707544 0.0463065876924383 0.0524194330926106
"Chaetophractus_vellerosus_DASYPODIDAE_CINGULATA" 0.0693320259975778 0.0726765038470106 0.00278268430564188 0.0202570707544 0.0463065876924383 0.0524194330926106
"Chlamyphorus_truncatus_DASYPODIDAE_CINGULATA" 0.0692086717492232 0.0726741553667214 0.0027849372051251 0.0207239622104 0.0461208916917455 0.0519501931563214
"Calyptophractus_retusus_DASYPODIDAE_CINGULATA" 0.0691211870118836 0.0724593841106728 0.00277766798537729 0.0202947041404 0.0461548908217151 0.0521646799702728
"Tolypeutes_tricinctus_DASYPODIDAE_CINGULATA" 0.0689729480807965 0.0724949188812316 0.00277710524529445 0.0203431401804 0.0463375377534714 0.0521517787008316
"Tolypeutes_matacus_DASYPODIDAE_CINGULATA" 0.0689938812724618 0.0726969887748009 0.00277853200765652 0.0221014452104 0.0464756906889221 0.0505955435644009
"Priodontes_maximus_DASYPODIDAE_CINGULATA" 0.0692098973282428 0.0725211499257823 0.00277645859946884 0.0204701332904 0.0464261745429939 0.0520510166353823
"Cabassous_centralis_DASYPODIDAE_CINGULATA" 0.0692194594627041 0.0726729000180302 0.0028093786123613 0.0205384102424 0.0463179715148689 0.0521344897756302
"Cabassous_chacoensis_DASYPODIDAE_CINGULATA" 0.0693456770180193 0.0731583052497615 0.00277528009604517 0.0203845049304 0.0463240223926097 0.0527738003193615
"Cabassous_tatouay_DASYPODIDAE_CINGULATA" 0.069016837340003 0.0724364035619025 0.00278033759941304 0.0204012546804 0.0464235214837938 0.0520351488815025
"Cabassous_unicinctus_DASYPODIDAE_CINGULATA" 0.0690825241870206 0.0724507194328197 0.00277402965648283 0.0203333722304 0.0463179832464464 0.0521173472024197
"Tamandua_tetradactyla_MYRMECOPHAGIDAE_PILOSA" 0.0682929398291679 0.0718407421846577 0.0027498875348843 0.0203030526494 0.0382888822517289 0.0515376895352577
"Tamandua_mexicana_MYRMECOPHAGIDAE_PILOSA" 0.0668270411875518 0.0716364019900014 0.00275138928524037 0.0206231880294 0.0385104117520728 0.0510132139606014
"Myrmecophaga_tridactyla_MYRMECOPHAGIDAE_PILOSA" 0.0682458606449352 0.0716883759211903 0.00274302935074975 0.0201809923594 0.038185282621369 0.0515073835617903
"Cyclopes_didactylus_CYCLOPEDIDAE_PILOSA" 0.0680694517462457 0.0720438553039799 0.00286608678374754 0.0217552803626 0.0384231505703096 0.0502885749413799
"Mylodon_darwinii_Mylodontidae_PILOSA" 0.0683085692751897 0.0717885380720995 0.00279238647478316 0.0202732204984 0.0392270233606285 0.0515153175736995
"Choloepus_hoffmanni_MEGALONYCHIDAE_PILOSA" 0.0683371098765679 0.0717368371996925 0.00275261455410508 0.0201931366654 0.0390705300365727 0.0515437005342925
"Choloepus_didactylus_MEGALONYCHIDAE_PILOSA" 0.0682727374361681 0.0716550870166162 0.00279329794373655 0.0207107910384 0.0389952701949037 0.0509442959782162
"Nothrotheriops_shastensis_Nothrotheriidae_PILOSA" 0.0681644816511562 0.0718950565756372 0.00285496229107842 0.0207573532626 0.038988432838934 0.0511377033130372
"Bradypus_pygmaeus_BRADYPODIDAE_PILOSA" 0.0682946905860971 0.0716552141685699 0.00274216330565547 0.0200679578694 0.0391706805563514 0.0515872562991699
"Bradypus_tridactylus_BRADYPODIDAE_PILOSA" 0.0666594215733188 0.0716216110014838 0.00273990322891225 0.0204654556194 0.039280257575094 0.0511561553820838
"Bradypus_variegatus_BRADYPODIDAE_PILOSA" 0.0683533161712103 0.0717509036306947 0.00273907912748381 0.0201231438194 0.0391866931922544 0.0516277598112947
"Bradypus_torquatus_BRADYPODIDAE_PILOSA" 0.0680309254817149 0.071742862662288 0.00275476748888925 0.0205084308204 0.0394661242646951 0.051234431841888
"Solenodon_marcanoi_SOLENODONTIDAE_EULIPOTYPHLA" 0.110396589875224 0.139582794406292 0.00319370149332719 0.0753542238189 0.0924099477832709 0.0642285705873922
"Solenodon_paradoxus_SOLENODONTIDAE_EULIPOTYPHLA" 0.110396589875224 0.139582794406292 0.00319370149332719 0.0753542238189 0.0924099477832709 0.0642285705873922
"Solenodon_cubanus_SOLENODONTIDAE_EULIPOTYPHLA" 0.110396589875224 0.139582794406292 0.00319370149332719 0.0753542238189 0.0924099477832709 0.0642285705873922
"Uropsilus_investigator_TALPIDAE_EULIPOTYPHLA" 0.114679025675648 0.135285827559587 0.00288863091192715 0.0547458722261 0.0762924619977796 0.0805399553334874
"Uropsilus_soricipes_TALPIDAE_EULIPOTYPHLA" 0.115926858942581 0.135490855728263 0.00289477361455139 0.0546807133461 0.0762709336564955 0.0808101423821635
"Uropsilus_gracilis_TALPIDAE_EULIPOTYPHLA" 0.115951495883173 0.135562089287899 0.00291244704672531 0.0548473327311 0.0762350767603538 0.0807147565567992
"Uropsilus_andersoni_TALPIDAE_EULIPOTYPHLA" 0.115951495883173 0.135562089287899 0.00291244704672531 0.0548473327311 0.0762350767603538 0.0807147565567992
"Uropsilus_aequodonenia_TALPIDAE_EULIPOTYPHLA" 0.115951495883173 0.135562089287899 0.00291244704672531 0.0548473327311 0.0762350767603538 0.0807147565567992
"Scapanulus_oweni_TALPIDAE_EULIPOTYPHLA" 0.111590083869279 0.136273294400563 0.00293926748776176 0.0554408512021 0.0767683666724431 0.0808324431984633
